# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
25            	1.254736e-02	6.257552e-03	6.289805e-03	-7.366368e-03	-3.682670e-03	-3.683698e-03	5.140917e-07	-1.612641e-05	-1.056528e-05	2.668808e-05	2.778761e-06	2.390932e-05
25.5          	1.001361e-02	4.998609e-03	5.015001e-03	-4.861594e-03	-2.429767e-03	-2.431826e-03	1.029500e-06	-8.196022e-06	-8.801618e-06	2.699541e-05	4.696087e-06	2.229932e-05
26            	1.415325e-02	7.068714e-03	7.084535e-03	2.079094e-02	1.039616e-02	1.039478e-02	6.891782e-07	-7.910950e-06	-9.905541e-06	2.894082e-05	4.564868e-06	2.437595e-05
26.5          	4.732146e-03	2.361560e-03	2.370586e-03	1.837236e-03	9.183096e-04	9.189268e-04	-3.085598e-07	-4.513013e-06	-1.705605e-05	3.372913e-05	-1.914868e-07	3.392062e-05
27            	1.262619e-02	6.318200e-03	6.307995e-03	-7.475942e-03	-3.740009e-03	-3.735933e-03	-2.038088e-06	5.102529e-06	-1.431281e-05	2.121637e-05	-3.704622e-06	2.492099e-05
27.5          	1.486913e-02	7.441145e-03	7.427988e-03	-9.220354e-03	-4.612136e-03	-4.608218e-03	-1.959066e-06	6.578377e-06	2.111288e-06	1.762982e-05	1.092620e-05	6.703622e-06
28            	1.477462e-02	7.388171e-03	7.386449e-03	1.427372e-02	7.135575e-03	7.138141e-03	-1.282724e-06	8.606656e-07	1.107825e-05	1.444951e-05	1.830301e-05	-3.853494e-06
28.5          	9.363506e-03	4.681039e-03	4.682466e-03	-1.007508e-02	-5.036474e-03	-5.038608e-03	1.066942e-06	-7.135123e-07	3.624913e-05	8.597218e-06	4.054773e-05	-3.195052e-05
29            	7.321389e-03	3.670610e-03	3.650779e-03	-3.621303e-03	-1.807725e-03	-1.813578e-03	2.926167e-06	9.915731e-06	3.999485e-05	8.125134e-06	4.405741e-05	-3.593228e-05
29.5          	2.044924e-02	1.022691e-02	1.022233e-02	-6.647054e-03	-3.320663e-03	-3.326391e-03	2.863712e-06	2.287434e-06	1.627045e-06	1.467945e-05	8.966771e-06	5.712680e-06
30            	1.344867e-02	6.714474e-03	6.734195e-03	-8.194750e-03	-4.096796e-03	-4.097955e-03	5.796748e-07	-9.860657e-06	-8.631772e-06	1.049056e-05	-3.386491e-06	1.387705e-05
30.5          	1.056004e-02	5.262837e-03	5.297204e-03	6.573873e-03	3.283488e-03	3.290385e-03	-3.448087e-06	-1.718315e-05	2.171326e-05	4.077708e-06	2.375211e-05	-1.967440e-05
31            	1.242519e-02	6.201561e-03	6.223625e-03	-4.906149e-03	-2.458522e-03	-2.447627e-03	-5.447525e-06	-1.103225e-05	4.620504e-05	3.377637e-06	4.789386e-05	-4.451622e-05
31.5          	1.438418e-02	7.193644e-03	7.190537e-03	3.461751e-03	1.727176e-03	1.734575e-03	-3.699196e-06	1.553548e-06	1.186412e-05	-8.955486e-07	1.141635e-05	-1.231190e-05
32            	1.539333e-02	7.683199e-03	7.710128e-03	1.602796e-02	8.014415e-03	8.013542e-03	4.365182e-07	-1.346457e-05	-4.634633e-06	6.377732e-06	-1.445767e-06	7.823499e-06
32.5          	1.656210e-02	8.254212e-03	8.307883e-03	1.327309e-02	6.640284e-03	6.632809e-03	3.737780e-06	-2.683559e-05	-1.246439e-05	1.092869e-05	-7.000045e-06	1.792874e-05
33            	9.993788e-03	4.943664e-03	5.050123e-03	-1.086243e-02	-5.426940e-03	-5.435492e-03	4.276131e-06	-5.322946e-05	9.454756e-06	1.800353e-05	1.845652e-05	-4.529916e-07
33.5          	1.893941e-02	9.399243e-03	9.540169e-03	-9.186620e-03	-4.591236e-03	-4.595385e-03	2.074566e-06	-7.046290e-05	1.799377e-05	1.436749e-05	2.517752e-05	-1.081003e-05
34            	1.070976e-02	5.306977e-03	5.402787e-03	1.338525e-02	6.689362e-03	6.695890e-03	-3.263657e-06	-4.790513e-05	-3.124882e-05	1.468480e-05	-2.390642e-05	3.859122e-05
